session_id,date,region,channel,experiment_group,pages_visited,time_on_site_min,product_views,purchase_prob,purchase_success,amount_spent,ad_impressions,clicks,days_since_last_purchase,satisfaction_rating
948,2025-03-06,Colombia,Retail,Control,7,5.62,8,0.11,0,0.0,15,4,25.4,2.2
949,2025-02-21,Colombia,Online,Control,6,3.71,5,0.11,0,0.0,17,0,29.5,2.4
950,2025-02-02,Colombia,Retail,UX Test,10,2.75,6,0.15,0,0.0,25,4,1.3,3.2
951,2025-01-08,México,Retail,Discount Test,4,5.37,4,0.16,0,0.0,15,0,32.0,2.7
952,2025-01-11,Colombia,Retail,Discount Test,8,0.48,5,0.17,0,0.0,17,1,24.2,2.3
953,2025-03-21,Perú,Online,UX Test,6,3.12,5,0.14,0,0.0,30,3,47.6,2.9
954,2025-02-10,Perú,Online,Control,6,13.21,5,0.11,1,59.62,26,3,111.4,2.3
955,2025-03-30,Perú,Online,UX Test,1,0.48,0,0.13,0,0.0,24,4,20.6,2.7
956,2025-02-02,Colombia,Retail,Discount Test,3,1.26,3,0.16,0,0.0,11,2,146.0,2.5
957,2025-01-23,México,Online,Discount Test,4,3.74,4,0.16,0,0.0,14,0,45.0,2.4
958,2025-02-01,Perú,Online,Control,4,3.62,3,0.11,0,0.0,12,0,29.5,2.8
959,2025-01-31,México,Marketplace,Control,5,0.13,6,0.11,0,0.0,12,3,5.0,2.3
960,2025-02-26,Chile,Marketplace,Discount Test,5,2.86,5,0.16,0,0.0,20,2,32.5,2.8
961,2025-01-02,México,Marketplace,Discount Test,4,4.99,3,0.16,0,0.0,19,1,10.4,1.9
962,2025-03-09,Colombia,Online,Discount Test,3,11.11,5,0.16,0,0.0,23,4,18.3,2.7
963,2025-02-07,Chile,Retail,UX Test,1,0.18,2,0.13,1,51.68,16,1,67.3,2.5
964,2025-02-08,México,Marketplace,Control,5,3.54,6,0.11,0,0.0,16,1,8.3,2.5
965,2025-02-12,Colombia,Retail,Control,3,1.35,3,0.11,0,0.0,28,1,8.6,2.7
966,2025-02-09,México,Retail,Control,11,4.54,12,0.12,0,0.0,17,2,22.0,3.0
967,2025-02-14,Colombia,Online,UX Test,3,11.58,6,0.14,0,0.0,26,6,66.6,2.4
968,2025-01-31,Chile,Online,Discount Test,2,3.53,5,0.15,0,0.0,20,3,87.4,2.7
969,2025-02-10,Colombia,Online,UX Test,4,2.17,4,0.14,0,0.0,22,3,19.7,2.3
970,2025-02-06,Chile,Retail,Discount Test,1,1.71,2,0.15,0,0.0,15,1,11.1,2.8
971,2025-02-16,Colombia,Retail,Control,5,4.98,8,0.11,0,0.0,28,4,5.1,2.7
972,2025-02-25,Perú,Marketplace,Discount Test,5,0.35,5,0.16,0,0.0,20,3,4.0,2.4
973,2025-01-22,México,Retail,Discount Test,3,0.54,2,0.16,0,0.0,16,1,38.4,2.8
974,2025-02-15,Chile,Online,UX Test,9,9.21,9,0.15,0,0.0,21,2,4.8,2.5
975,2025-02-22,México,Retail,Discount Test,2,16.75,6,0.15,0,0.0,13,0,63.0,1.9
976,2025-01-02,México,Retail,Control,5,6.05,4,0.11,0,0.0,21,1,65.5,2.5
977,2025-02-16,México,Online,UX Test,2,1.86,2,0.13,0,0.0,31,5,18.1,2.7
978,2025-01-22,Perú,Marketplace,UX Test,4,17.74,4,0.14,0,0.0,22,6,40.4,2.8
979,2025-02-06,Colombia,Retail,Control,9,1.05,8,0.12,0,0.0,27,1,5.6,2.5
980,2025-03-15,Perú,Retail,UX Test,4,4.54,4,0.14,0,0.0,25,4,53.2,2.4
981,2025-01-30,México,Marketplace,Discount Test,5,7.79,6,0.16,0,0.0,16,1,3.7,2.6
982,2025-02-13,México,Online,Control,7,0.35,5,0.11,0,0.0,8,0,52.9,2.1
983,2025-01-03,Perú,Retail,Discount Test,6,3.74,8,0.16,0,0.0,25,2,19.2,2.6
984,2025-01-28,México,Retail,Discount Test,2,0.02,1,0.15,0,0.0,18,2,221.1,2.3
985,2025-02-26,Perú,Marketplace,UX Test,8,0.24,12,0.15,1,67.43,31,4,14.1,2.7
986,2025-01-29,México,Retail,Discount Test,4,6.89,6,0.16,0,0.0,17,0,17.1,2.4
987,2025-01-19,Chile,Marketplace,Control,5,4.31,4,0.11,0,0.0,20,1,4.3,2.1
988,2025-01-26,Chile,Retail,Discount Test,4,2.17,2,0.16,0,0.0,10,3,14.7,2.7
989,2025-03-26,Perú,Online,Discount Test,7,2.3,9,0.16,0,0.0,22,2,62.8,2.9
990,2025-01-08,Perú,Online,Discount Test,5,9.89,5,0.16,0,0.0,19,2,39.5,2.5
991,2025-02-11,Colombia,Retail,UX Test,4,5.47,6,0.14,0,0.0,13,1,79.4,2.4
992,2025-01-06,Perú,Retail,UX Test,9,0.01,8,0.15,0,0.0,21,3,10.0,2.7
993,2025-02-17,Perú,Retail,Control,5,1.99,2,0.11,0,0.0,14,0,27.1,2.7
994,2025-01-13,Perú,Marketplace,UX Test,7,3.5,7,0.14,0,0.0,17,1,29.8,2.4
995,2025-02-26,Perú,Retail,UX Test,7,1.39,3,0.14,1,59.08,19,1,31.2,3.1
996,2025-01-24,Colombia,Retail,Control,7,5.28,4,0.11,1,52.29,20,2,104.5,2.6
997,2025-03-03,Chile,Marketplace,Control,6,0.26,6,0.11,1,46.62,22,1,18.2,2.8
998,2025-01-31,Perú,Online,Control,4,0.12,5,0.11,0,0.0,14,2,42.1,2.6
999,2025-01-01,Chile,Retail,Discount Test,4,0.7,5,0.16,1,47.38,14,3,5.4,3.0
1000,2025-01-27,Perú,Marketplace,Discount Test,5,0.71,1,0.16,0,0.0,16,0,21.1,2.7
1001,2025-01-08,Chile,Online,UX Test,3,1.21,5,0.14,0,0.0,17,0,93.1,2.4
1002,2025-02-14,Chile,Online,Discount Test,6,0.52,9,0.16,1,43.55,31,1,5.8,2.4
1003,2025-01-26,México,Online,Control,6,4.98,5,0.11,0,0.0,21,3,46.2,2.4
1004,2025-02-26,Perú,Marketplace,Discount Test,7,1.72,6,0.16,0,0.0,20,2,20.6,2.7
1005,2025-02-14,Chile,Online,UX Test,8,1.61,10,0.15,0,0.0,20,2,0.9,2.8
1006,2025-01-04,Perú,Online,UX Test,7,6.08,5,0.14,0,0.0,11,0,25.9,2.8
1007,2025-01-29,Perú,Online,Control,3,5.4,3,0.11,0,0.0,17,1,12.2,1.9
1008,2025-02-13,Chile,Online,Control,10,1.05,11,0.12,0,0.0,20,0,24.8,2.5
1009,2025-02-20,Colombia,Retail,UX Test,2,5.29,0,0.13,0,0.0,23,2,41.2,2.4
1010,2025-01-10,Colombia,Online,Discount Test,7,1.73,8,0.16,0,0.0,20,3,3.5,3.2
1011,2025-02-27,Perú,Marketplace,Discount Test,0,0.1,0,0.15,1,73.17,18,1,4.2,2.6
1012,2025-01-31,Perú,Online,Control,3,5.8,3,0.11,0,0.0,23,4,4.1,2.6
1013,2025-01-17,México,Marketplace,Discount Test,7,1.91,5,0.16,0,0.0,15,0,30.7,2.5
1014,2025-03-13,Colombia,Online,UX Test,5,2.74,6,0.14,0,0.0,22,1,8.1,2.8
1015,2025-01-07,Perú,Online,Discount Test,7,1.03,4,0.16,0,0.0,11,0,89.2,2.7
1016,2025-03-24,Colombia,Online,UX Test,7,4.07,13,0.14,0,0.0,21,3,70.9,2.5
1017,2025-03-04,México,Online,Control,4,1.33,1,0.11,0,0.0,17,2,35.0,2.7
1018,2025-02-12,Perú,Online,UX Test,1,3.26,3,0.13,0,0.0,19,2,65.7,2.1
1019,2025-01-01,México,Marketplace,Control,8,2.13,8,0.12,0,0.0,13,2,17.1,2.7
1020,2025-02-04,Colombia,Online,Discount Test,7,10.21,6,0.16,0,0.0,21,2,11.5,3.0
1021,2025-02-27,Colombia,Online,Discount Test,5,0.73,8,0.16,0,0.0,18,2,0.5,2.7
1022,2025-03-18,Chile,Online,Control,2,2.46,1,0.1,0,0.0,23,2,21.6,2.4
1023,2025-02-24,Colombia,Online,Control,5,1.24,3,0.11,0,0.0,20,0,7.4,2.0
1024,2025-02-05,Colombia,Marketplace,Discount Test,4,0.57,3,0.16,0,0.0,14,0,45.7,2.6
1025,2025-02-09,Chile,Online,Discount Test,4,9.25,3,0.16,0,0.0,25,2,3.4,2.9
1026,2025-03-19,Colombia,Retail,Discount Test,6,1.14,5,0.16,0,0.0,27,1,1.1,2.8
1027,2025-02-01,México,Online,UX Test,4,2.93,2,0.14,0,0.0,18,1,67.2,2.7
1028,2025-01-06,México,Online,Control,2,0.08,0,0.1,0,0.0,18,1,144.8,2.4
1029,2025-02-09,México,Online,UX Test,2,2.6,2,0.13,1,36.25,18,3,15.1,2.5
1030,2025-03-30,Perú,Online,Control,6,0.47,4,0.11,0,0.0,19,2,5.9,2.7
1031,2025-02-03,Perú,Retail,Control,9,2.56,9,0.12,0,0.0,25,2,12.5,2.6
1032,2025-01-18,Perú,Online,Control,4,1.93,5,0.11,0,0.0,30,1,3.6,2.8
1033,2025-01-05,México,Online,Discount Test,2,2.38,5,0.15,0,0.0,23,3,3.5,2.8
1034,2025-01-16,Colombia,Online,UX Test,2,1.47,0,0.13,0,0.0,21,1,5.5,2.2
1035,2025-01-29,Colombia,Online,UX Test,4,0.68,7,0.14,0,0.0,23,1,8.2,2.4
1036,2025-02-21,Colombia,Marketplace,Control,8,8.05,5,0.12,1,40.05,20,3,25.2,2.0
1037,2025-03-01,México,Online,Discount Test,2,0.89,0,0.15,0,0.0,27,1,3.2,2.7
1038,2025-01-04,Chile,Marketplace,Discount Test,5,0.03,4,0.16,1,43.54,21,2,2.6,2.6
1039,2025-03-25,México,Retail,Discount Test,7,8.28,6,0.16,0,0.0,15,1,2.4,2.5
1040,2025-01-21,Chile,Online,Control,7,0.72,0,0.11,0,0.0,27,2,56.9,2.6
1041,2025-01-14,México,Retail,Discount Test,4,0.25,0,0.16,0,0.0,25,0,9.1,2.9
1042,2025-02-17,Colombia,Online,Control,3,1.1,5,0.11,0,0.0,14,2,21.3,2.6
1043,2025-03-02,México,Marketplace,UX Test,6,4.35,6,0.14,0,0.0,19,1,23.6,2.5
1044,2025-01-28,Colombia,Retail,Control,1,2.23,0,0.1,1,81.53,24,3,7.3,2.9
1045,2025-03-01,Colombia,Online,Control,7,0.08,7,0.11,0,0.0,21,3,14.5,2.6
1046,2025-01-27,México,Retail,Discount Test,6,7.72,7,0.16,1,47.63,17,0,5.5,1.9
1047,2025-03-22,Colombia,Marketplace,UX Test,7,0.2,7,0.14,1,73.46,23,5,21.1,2.6
1048,2025-03-20,Colombia,Online,UX Test,3,0.21,0,0.14,0,0.0,28,1,26.4,2.6
1049,2025-01-07,México,Online,UX Test,9,3.26,8,0.15,0,0.0,25,4,12.3,2.6
1050,2025-01-14,Perú,Retail,Discount Test,2,0.44,2,0.15,0,0.0,19,7,39.3,2.6
1051,2025-03-04,Chile,Online,Control,5,8.64,5,0.11,0,0.0,17,0,19.4,2.6
1052,2025-01-01,Colombia,Online,Discount Test,5,1.22,3,0.16,0,0.0,15,3,72.3,1.9
1053,2025-03-15,México,Retail,UX Test,9,1.42,9,0.15,0,0.0,23,3,10.4,2.8
1054,2025-02-01,Colombia,Online,UX Test,4,4.73,4,0.14,0,0.0,23,3,17.3,2.5
1055,2025-03-08,México,Retail,UX Test,5,0.16,5,0.14,1,49.12,22,2,1.4,2.9
1056,2025-01-04,Chile,Online,Control,4,3.88,1,0.11,0,0.0,24,2,21.2,2.0
1057,2025-01-19,México,Online,UX Test,3,1.69,1,0.14,0,0.0,24,2,33.8,2.6
1058,2025-01-07,Colombia,Online,Discount Test,3,2.86,6,0.16,0,0.0,26,1,1.0,2.6
1059,2025-01-17,Perú,Online,Control,2,7.96,3,0.1,0,0.0,12,2,18.7,2.6
1060,2025-02-04,Chile,Retail,Discount Test,2,5.1,2,0.15,1,54.21,17,4,16.3,2.6
1061,2025-02-13,Chile,Retail,Discount Test,10,1.48,5,0.17,0,0.0,21,5,24.6,2.5
1062,2025-03-23,Perú,Marketplace,UX Test,7,4.6,6,0.14,0,0.0,12,0,15.0,2.8
1063,2025-02-25,Chile,Online,Discount Test,8,1.78,7,0.17,0,0.0,28,2,9.3,2.7
1064,2025-03-04,Colombia,Marketplace,Discount Test,7,1.16,7,0.16,0,0.0,29,1,40.5,2.7
1065,2025-01-08,Chile,Online,UX Test,2,0.04,5,0.13,0,0.0,27,0,37.6,2.8
1066,2025-01-26,Perú,Marketplace,Discount Test,10,3.09,10,0.17,0,0.0,18,3,56.7,2.6
1067,2025-03-30,Chile,Online,Discount Test,7,0.36,8,0.16,0,0.0,16,0,81.3,3.3
1068,2025-02-19,Chile,Retail,Control,5,1.5,6,0.11,0,0.0,17,3,20.2,2.8
1069,2025-03-12,Chile,Online,UX Test,2,3.57,0,0.13,1,74.41,19,1,37.4,2.6
1070,2025-01-03,México,Marketplace,Control,7,1.02,9,0.11,0,0.0,26,4,86.6,2.6
1071,2025-01-08,Colombia,Marketplace,Control,5,2.77,2,0.11,0,0.0,18,0,78.3,2.6
1072,2025-01-10,Perú,Retail,UX Test,6,7.52,4,0.14,0,0.0,20,2,126.6,1.8
1073,2025-01-02,Colombia,Retail,UX Test,6,2.35,6,0.14,1,59.46,16,3,15.5,2.4
1074,2025-03-24,México,Online,Control,5,2.25,2,0.11,0,0.0,21,3,59.8,2.5
1075,2025-01-23,Chile,Online,Control,14,3.25,10,0.13,0,0.0,22,3,5.2,2.5
1076,2025-03-30,México,Online,Control,6,2.42,4,0.11,0,0.0,18,3,29.2,2.7
1077,2025-03-07,Perú,Marketplace,UX Test,5,9.76,5,0.14,0,0.0,27,2,126.5,2.6
1078,2025-01-23,Perú,Online,Control,3,0.49,5,0.11,0,0.0,25,2,29.8,2.5
1079,2025-03-30,Colombia,Online,Control,3,4.65,3,0.11,1,45.43,22,1,51.0,2.6
1080,2025-03-19,Chile,Marketplace,Control,5,2.42,5,0.11,1,34.22,21,0,9.5,2.4
1081,2025-01-15,Chile,Online,UX Test,4,3.45,2,0.14,0,0.0,24,2,15.2,2.9
1082,2025-01-17,Chile,Online,Control,5,1.61,5,0.11,0,0.0,31,0,9.9,2.7
1083,2025-03-02,Colombia,Online,UX Test,5,13.29,2,0.14,0,0.0,27,4,18.8,2.1
1084,2025-01-07,Perú,Marketplace,Control,2,4.73,4,0.1,0,0.0,23,2,44.1,2.5
1085,2025-02-22,Perú,Online,Control,5,1.45,7,0.11,0,0.0,18,3,62.0,2.2
1086,2025-01-06,Colombia,Online,UX Test,4,2.34,4,0.14,0,0.0,12,1,3.4,2.8
1087,2025-01-20,Perú,Online,Discount Test,3,0.33,6,0.16,0,0.0,15,0,26.2,2.8
1088,2025-03-26,Perú,Marketplace,UX Test,5,2.77,7,0.14,0,0.0,13,0,44.2,2.6
1089,2025-02-14,Perú,Online,UX Test,4,1.89,5,0.14,1,52.88,29,6,3.5,2.3
1090,2025-02-21,Colombia,Retail,Discount Test,2,0.27,0,0.15,0,0.0,14,2,55.7,2.9
1091,2025-01-25,Chile,Online,Discount Test,9,2.39,10,0.17,1,62.39,22,5,159.7,2.6
1092,2025-02-09,México,Retail,Discount Test,7,0.83,4,0.16,0,0.0,17,2,38.7,2.6
1093,2025-01-12,Chile,Online,UX Test,2,1.03,4,0.13,0,0.0,26,4,2.6,1.9
1094,2025-02-15,México,Online,UX Test,6,4.22,5,0.14,0,0.0,25,0,14.1,3.2
1095,2025-01-05,Colombia,Retail,Control,3,4.97,4,0.11,0,0.0,32,7,29.5,2.5
1096,2025-01-05,México,Retail,UX Test,7,0.71,8,0.14,0,0.0,15,4,25.3,2.8
1097,2025-03-02,Chile,Online,Discount Test,3,1.55,3,0.16,0,0.0,22,2,62.5,2.5
1098,2025-01-05,Perú,Online,UX Test,4,1.49,6,0.14,0,0.0,19,3,141.0,3.2
1099,2025-02-16,Perú,Marketplace,Control,4,4.54,1,0.11,0,0.0,26,2,62.5,3.0
1100,2025-01-24,Perú,Marketplace,Discount Test,6,0.06,6,0.16,0,0.0,25,1,9.4,2.7
1101,2025-01-17,Chile,Online,Control,4,1.18,7,0.11,1,47.22,19,0,26.6,2.2
1102,2025-02-21,Perú,Online,Control,4,4.87,3,0.11,1,22.15,23,3,36.8,2.5
1103,2025-01-27,Perú,Marketplace,Control,9,0.23,9,0.12,0,0.0,24,6,15.9,2.9
1104,2025-02-10,Chile,Retail,Control,7,0.77,4,0.11,0,0.0,20,3,13.4,3.2
1105,2025-01-13,México,Retail,UX Test,5,0.51,2,0.14,0,0.0,10,1,9.3,2.5
1106,2025-01-12,Perú,Online,Discount Test,3,1.69,0,0.16,0,0.0,23,3,4.2,2.3
1107,2025-01-10,México,Marketplace,Control,3,4.83,4,0.11,1,58.65,18,4,54.0,2.6
1108,2025-01-07,Chile,Online,Discount Test,6,19.65,6,0.16,0,0.0,13,1,1.3,2.6
1109,2025-02-19,Colombia,Online,UX Test,4,0.9,1,0.14,0,0.0,20,2,32.7,2.6
1110,2025-03-09,Perú,Retail,UX Test,6,2.09,3,0.14,0,0.0,18,1,33.3,2.7
1111,2025-03-12,Chile,Online,Control,5,2.62,6,0.11,0,0.0,12,2,77.8,2.8
1112,2025-03-27,México,Online,Control,5,0.68,5,0.11,0,0.0,18,3,36.4,2.7
1113,2025-01-15,Chile,Online,Discount Test,10,2.1,11,0.17,0,0.0,27,3,19.7,2.5
1114,2025-01-13,México,Retail,Control,5,3.85,4,0.11,0,0.0,20,2,32.0,2.3
1115,2025-02-11,Perú,Online,UX Test,6,3.65,5,0.14,0,0.0,22,1,16.1,2.5
1116,2025-03-18,México,Marketplace,Control,6,0.97,6,0.11,0,0.0,21,2,6.3,3.0
1117,2025-03-10,Chile,Online,Discount Test,3,0.77,2,0.16,0,0.0,17,2,38.3,2.5
1118,2025-02-19,Chile,Retail,Discount Test,5,3.56,7,0.16,0,0.0,25,2,7.5,2.5
1119,2025-01-14,Colombia,Marketplace,UX Test,3,1.09,2,0.14,0,0.0,24,4,3.1,2.7
1120,2025-02-04,Colombia,Retail,Discount Test,5,3.24,5,0.16,0,0.0,20,1,6.1,2.5
1121,2025-03-06,México,Marketplace,Discount Test,3,5.93,5,0.16,1,92.15,21,2,23.7,2.9
1122,2025-02-03,Chile,Retail,UX Test,8,4.72,6,0.15,1,48.41,20,4,35.7,2.8
1123,2025-01-04,Colombia,Online,Discount Test,5,0.69,4,0.16,0,0.0,19,0,26.1,2.5
1124,2025-02-21,Colombia,Marketplace,Discount Test,2,0.45,1,0.15,0,0.0,23,3,30.4,2.0
1125,2025-03-06,Colombia,Retail,UX Test,5,2.74,2,0.14,0,0.0,19,0,0.4,2.6
1126,2025-03-05,Colombia,Marketplace,Discount Test,7,2.26,8,0.16,0,0.0,25,3,60.1,2.7
1127,2025-01-15,Perú,Online,Control,3,2.37,4,0.11,0,0.0,19,3,21.4,2.3
1128,2025-01-30,México,Online,Discount Test,5,7.13,4,0.16,0,0.0,22,0,9.7,2.5
1129,2025-02-06,México,Retail,Control,4,2.22,5,0.11,0,0.0,20,5,6.0,2.8
1130,2025-02-07,Chile,Online,Control,6,1.22,5,0.11,0,0.0,26,5,60.8,2.7
1131,2025-01-11,Perú,Retail,Discount Test,5,0.81,4,0.16,0,0.0,14,0,100.4,3.0
1132,2025-02-04,México,Online,Discount Test,3,5.23,1,0.16,0,0.0,15,2,5.3,2.5
1133,2025-02-15,Perú,Retail,UX Test,8,0.09,7,0.15,0,0.0,21,3,1.8,2.7
1134,2025-03-05,Perú,Online,Discount Test,5,0.03,2,0.16,0,0.0,28,1,68.3,2.5
1135,2025-02-20,Chile,Marketplace,UX Test,5,7.19,7,0.14,0,0.0,14,2,70.5,2.5
1136,2025-02-06,Perú,Online,Control,4,2.49,1,0.11,0,0.0,24,1,7.7,2.6
1137,2025-03-24,Colombia,Online,UX Test,3,2.51,3,0.14,0,0.0,21,1,8.6,2.5
1138,2025-02-23,México,Online,Control,8,1.96,8,0.12,0,0.0,24,2,7.3,2.7
1139,2025-03-28,Colombia,Retail,Control,4,1.13,0,0.11,0,0.0,12,0,10.9,2.3
1140,2025-03-19,Perú,Online,Discount Test,4,10.56,2,0.16,0,0.0,22,1,25.8,2.6
1141,2025-03-01,Colombia,Online,UX Test,8,2.54,8,0.15,0,0.0,17,0,21.3,2.6
1142,2025-03-22,Colombia,Online,Discount Test,6,4.02,4,0.16,1,67.49,26,3,48.9,2.3
1143,2025-03-30,Colombia,Online,UX Test,9,2.91,6,0.15,0,0.0,19,1,25.5,2.5
1144,2025-01-20,Perú,Retail,Control,8,0.11,5,0.12,0,0.0,20,1,13.2,3.7
1145,2025-03-03,Chile,Retail,Control,7,0.55,3,0.11,0,0.0,20,2,5.5,2.4
1146,2025-03-23,México,Online,Discount Test,9,1.07,8,0.17,1,58.93,33,4,40.2,2.4
1147,2025-01-02,Chile,Online,Control,10,2.47,8,0.12,0,0.0,11,0,21.8,2.2
1148,2025-03-13,México,Retail,Discount Test,5,0.61,1,0.16,1,72.01,18,1,0.5,2.8
1149,2025-01-08,Perú,Online,Discount Test,2,3.1,0,0.15,0,0.0,15,1,30.4,2.4
1150,2025-03-23,Perú,Retail,UX Test,6,6.95,4,0.14,0,0.0,19,2,3.5,2.6
1151,2025-02-24,Chile,Retail,UX Test,3,1.37,2,0.14,0,0.0,18,1,20.4,2.4
1152,2025-01-15,Colombia,Marketplace,Control,4,3.2,2,0.11,0,0.0,14,2,1.6,2.7
1153,2025-01-04,México,Marketplace,Discount Test,1,0.74,4,0.15,0,0.0,18,2,2.2,2.8
1154,2025-03-15,Perú,Retail,Discount Test,5,0.83,5,0.16,1,51.77,14,1,64.3,2.4
1155,2025-01-13,Perú,Online,UX Test,4,0.78,9,0.14,0,0.0,19,3,57.9,2.4
1156,2025-03-25,Perú,Marketplace,Control,3,7.49,3,0.11,0,0.0,26,3,18.5,2.1
1157,2025-01-09,Colombia,Retail,Control,5,4.96,5,0.11,0,0.0,19,3,64.1,2.5
1158,2025-03-16,Colombia,Online,Control,2,4.28,0,0.1,0,0.0,24,3,5.1,2.5
1159,2025-02-07,México,Marketplace,UX Test,5,7.47,4,0.14,0,0.0,17,1,30.8,2.0
1160,2025-03-19,Colombia,Online,Control,7,4.58,3,0.11,0,0.0,15,3,43.8,2.7
1161,2025-03-10,México,Marketplace,Discount Test,8,0.8,10,0.17,0,0.0,22,3,12.6,2.4
1162,2025-03-17,Perú,Online,Control,4,3.55,4,0.11,0,0.0,16,1,14.0,2.7
1163,2025-02-11,Chile,Marketplace,UX Test,6,2.58,2,0.14,0,0.0,15,4,16.5,2.4
1164,2025-03-05,Colombia,Online,Discount Test,5,3.99,2,0.16,0,0.0,17,2,17.1,2.9
1165,2025-01-29,Colombia,Retail,Discount Test,4,1.43,1,0.16,0,0.0,19,0,35.3,2.7
1166,2025-01-05,Chile,Retail,Discount Test,5,5.46,5,0.16,0,0.0,16,1,71.5,2.6
1167,2025-01-21,Colombia,Retail,Control,8,0.21,7,0.12,0,0.0,15,1,18.6,2.5
1168,2025-01-01,Perú,Online,Discount Test,9,4.11,8,0.17,0,0.0,23,2,25.9,2.5
1169,2025-02-02,Chile,Online,Discount Test,7,2.17,7,0.16,0,0.0,18,2,4.8,2.5
1170,2025-02-13,Perú,Marketplace,Discount Test,9,4.23,10,0.17,0,0.0,25,1,70.0,2.4
1171,2025-01-02,Colombia,Online,Discount Test,3,5.26,3,0.16,0,0.0,23,0,96.5,2.1
1172,2025-01-01,Perú,Online,Discount Test,3,1.64,1,0.16,0,0.0,15,1,1.3,2.7
1173,2025-03-03,Perú,Retail,Control,3,3.62,5,0.11,0,0.0,19,2,8.2,2.3
1174,2025-01-09,Chile,Retail,Discount Test,6,0.07,7,0.16,1,35.32,15,2,23.1,2.6
1175,2025-01-07,Perú,Online,UX Test,5,4.76,6,0.14,0,0.0,21,1,33.2,2.7
1176,2025-02-14,Chile,Retail,Discount Test,4,0.44,3,0.16,0,0.0,16,4,38.1,2.4
1177,2025-03-05,México,Online,Control,7,0.37,7,0.11,0,0.0,20,3,29.6,2.4
1178,2025-03-28,Chile,Online,Discount Test,4,0.59,6,0.16,0,0.0,24,2,49.0,2.7
1179,2025-01-27,Chile,Online,Discount Test,4,0.09,2,0.16,1,62.79,21,3,22.7,2.6
1180,2025-01-11,Colombia,Retail,UX Test,6,2.98,9,0.14,0,0.0,20,1,4.7,2.7
1181,2025-01-07,Colombia,Retail,Discount Test,6,1.54,6,0.16,0,0.0,23,2,10.1,2.6
1182,2025-01-19,Chile,Online,Control,3,1.03,3,0.11,0,0.0,17,3,27.8,2.3
1183,2025-01-09,México,Online,UX Test,2,2.87,0,0.13,0,0.0,26,3,23.4,2.4
1184,2025-01-01,Colombia,Retail,Control,4,0.16,3,0.11,1,42.49,21,1,36.6,2.3
1185,2025-01-26,Chile,Marketplace,UX Test,5,0.11,4,0.14,0,0.0,26,2,3.7,2.0
1186,2025-01-15,Perú,Online,Discount Test,7,4.55,8,0.16,0,0.0,22,0,5.8,2.3
1187,2025-01-02,México,Online,Discount Test,6,10.64,5,0.16,1,29.22,20,1,117.7,1.9
1188,2025-02-01,Colombia,Online,UX Test,6,0.11,4,0.14,0,0.0,26,6,5.1,3.2
1189,2025-03-15,Perú,Retail,UX Test,4,4.96,5,0.14,0,0.0,14,2,20.0,2.8
1190,2025-01-28,Chile,Online,Control,1,2.35,0,0.1,0,0.0,24,1,28.0,2.2
1191,2025-03-05,Colombia,Online,UX Test,2,0.43,2,0.13,0,0.0,27,3,8.2,2.5
1192,2025-03-06,Perú,Online,UX Test,5,0.47,1,0.14,0,0.0,22,2,30.9,2.6
1193,2025-01-03,Chile,Online,UX Test,5,1.83,3,0.14,0,0.0,17,3,15.7,2.7
1194,2025-03-27,Perú,Retail,Control,4,1.18,5,0.11,0,0.0,21,1,7.8,2.5
1195,2025-01-13,Perú,Retail,Control,7,5.25,5,0.11,0,0.0,14,2,68.6,2.5
1196,2025-03-05,Perú,Marketplace,Discount Test,5,0.35,5,0.16,1,37.21,14,2,29.6,2.7
1197,2025-02-03,Perú,Marketplace,UX Test,5,2.44,4,0.14,0,0.0,19,1,33.1,2.3
1198,2025-03-19,Colombia,Online,UX Test,5,0.51,5,0.14,0,0.0,22,1,11.5,2.7
1199,2025-03-30,Chile,Online,Control,5,10.07,5,0.11,0,0.0,12,1,6.6,2.4
1200,2025-01-18,Perú,Retail,UX Test,3,1.57,2,0.14,0,0.0,26,3,14.7,2.7
1201,2025-03-14,México,Online,Discount Test,1,5.59,1,0.15,0,0.0,17,3,1.6,2.3
1202,2025-02-14,Chile,Online,Discount Test,5,0.11,3,0.16,0,0.0,14,0,25.9,2.5
1203,2025-03-27,Chile,Online,Discount Test,2,3.78,1,0.15,0,0.0,27,2,47.4,3.0
1204,2025-02-28,Perú,Marketplace,Discount Test,3,0.41,2,0.16,0,0.0,16,3,10.0,2.5
1205,2025-02-22,Colombia,Online,Discount Test,6,7.53,5,0.16,0,0.0,30,3,1.9,2.5
1206,2025-01-21,Perú,Marketplace,Control,4,5.47,7,0.11,0,0.0,28,6,83.9,2.5
1207,2025-03-05,Chile,Online,Control,3,1.4,2,0.11,0,0.0,24,2,16.6,2.7
1208,2025-01-26,Chile,Online,Control,1,2.96,4,0.1,0,0.0,18,3,50.8,2.6
1209,2025-03-17,México,Online,Control,1,3.84,0,0.1,1,52.26,26,4,2.1,3.1
1210,2025-03-28,Chile,Marketplace,UX Test,4,2.53,8,0.14,0,0.0,24,1,3.8,2.6
1211,2025-01-01,Chile,Online,Discount Test,3,0.05,2,0.16,0,0.0,16,2,26.9,2.5
1212,2025-03-26,Colombia,Online,UX Test,5,1.06,7,0.14,0,0.0,20,2,9.7,2.9
1213,2025-02-01,México,Online,Control,2,4.7,0,0.1,1,45.65,25,2,15.3,2.1
